ID,Education,Income,Kidhome,Teenhome,MntWines,MntFruits,NumWebPurchases,NumStorePurchases,Response
4119,Master,38620.0,0,0,112,17,2,3,0
535,Graduation,81361.0,0,0,163,23,3,13,0
5268,Graduation,29440.0,1,1,17,8,1,4,0
273,Master,36138.0,1,1,130,0,3,4,0
4452,Graduation,50388.0,0,1,292,6,6,6,1
8504,Graduation,79593.0,0,0,350,60,5,7,0
771,Graduation,54178.0,0,1,135,9,2,5,0
8996,PhD,,2,1,230,42,7,8,0
9235,Graduation,,1,1,7,0,1,2,0
5798,Master,,0,0,445,37,2,8,0
11178,Master,42394.0,1,0,15,2,1,3,0
2230,PhD,23626.0,1,0,27,2,3,3,0
7516,Graduation,30096.0,1,0,5,3,2,3,0
7247,Graduation,47916.0,0,1,505,0,7,6,0
11100,Graduation,51813.0,1,1,51,2,2,3,0
4646,2n Cycle,78497.0,0,0,207,26,5,12,0
3037,PhD,50150.0,0,0,135,46,5,7,0
1473,2n Cycle,47823.0,0,1,53,1,2,3,0
1016,PhD,34554.0,0,1,41,1,2,3,0
4518,Graduation,85693.0,0,1,386,172,9,11,0
9370,PhD,65846.0,0,0,562,81,6,6,0
8908,Graduation,87195.0,0,0,217,76,3,5,1
8373,Basic,24594.0,1,0,1,3,1,3,0
7533,Graduation,49096.0,1,1,144,1,4,4,0
2683,Graduation,52413.0,0,2,295,106,6,12,0
3629,Graduation,38557.0,1,0,76,3,3,3,0
10991,Master,89058.0,0,0,454,194,5,4,0
5077,Graduation,77298.0,0,1,425,115,6,11,0
7431,PhD,68126.0,0,0,1332,17,7,5,1
3267,Master,57288.0,0,1,527,0,8,8,0
999,Graduation,86037.0,0,0,490,44,6,11,1
9215,PhD,43974.0,1,0,378,0,6,6,0
2286,Graduation,50785.0,1,1,64,1,2,3,0
1592,Graduation,90765.0,0,0,547,99,4,5,0
367,2n Cycle,36550.0,1,0,47,90,9,5,0
5234,2n Cycle,30753.0,1,1,12,5,1,3,0
9862,Graduation,21918.0,1,0,1,6,2,3,0
9805,Master,56129.0,0,1,320,48,6,10,0
6205,Master,32557.0,1,0,34,3,2,3,1
8442,Master,19510.0,2,0,9,0,1,3,0
7386,Graduation,30992.0,1,0,17,0,1,3,0
7215,Graduation,101970.0,0,0,722,27,6,13,1
1491,2n Cycle,71488.0,0,0,162,33,3,7,0
11071,Graduation,79607.0,0,0,450,133,3,6,1
3381,Master,54348.0,1,1,70,0,2,4,0
8268,PhD,,0,1,352,0,6,7,0
11051,PhD,77376.0,1,1,492,19,6,10,0
8026,Graduation,62998.0,0,1,120,58,5,5,0
433,Master,61331.0,1,1,534,5,11,6,0
9597,Graduation,73448.0,0,0,236,106,7,9,0
1295,Graduation,,0,1,231,65,6,7,0
5290,PhD,41551.0,1,1,220,0,5,5,0
1685,PhD,62981.0,0,0,796,14,4,13,0
5342,Basic,9548.0,1,0,0,1,1,3,0
9579,PhD,33762.0,2,1,53,1,2,2,0
7660,PhD,35860.0,1,1,15,0,1,2,1
1461,PhD,36921.0,1,1,17,1,2,3,0
821,Master,92859.0,0,0,962,61,5,12,0
11084,Master,65104.0,0,1,738,0,3,7,1
8690,Graduation,86111.0,0,0,399,28,5,10,0
2937,PhD,68352.0,0,1,614,16,8,9,0
9701,Graduation,41883.0,1,0,32,34,4,3,0
9949,Graduation,59809.0,0,2,598,16,3,6,0
10837,Graduation,23957.0,1,0,2,1,2,3,1
3120,Graduation,38547.0,1,0,6,1,1,2,0
5885,2n Cycle,35688.0,2,1,73,3,4,4,0
4050,Master,49605.0,0,0,42,16,2,4,0
3830,Master,59354.0,0,2,295,21,4,7,0
7987,Graduation,65747.0,0,1,346,17,8,6,0
7798,2n Cycle,46344.0,0,1,233,20,7,5,0
92,Graduation,34176.0,1,0,5,7,3,4,0
7055,PhD,61010.0,0,1,888,0,8,11,0
10240,Graduation,69372.0,0,0,997,26,10,6,1
3025,Graduation,49967.0,0,1,212,6,6,5,0
9283,Graduation,60199.0,1,2,8,1,0,3,0
9970,Graduation,55375.0,0,1,42,11,1,6,0
2730,Graduation,80317.0,0,0,536,11,3,10,0
2795,Master,30523.0,2,1,5,0,1,2,0
9260,PhD,70356.0,0,0,1349,16,10,9,0
8182,Graduation,23228.0,1,0,53,3,3,4,0
10095,PhD,74165.0,0,0,1001,12,5,10,0
8475,PhD,157243.0,0,1,20,2,0,0,0
4370,Graduation,43482.0,2,1,18,1,2,4,0
10573,Graduation,62551.0,0,0,125,16,6,4,0
3712,Graduation,52332.0,0,0,212,5,3,6,0
6637,Graduation,66951.0,0,0,277,162,3,7,0
3152,Graduation,26091.0,1,1,15,10,2,3,0
5610,Graduation,33456.0,1,1,7,3,1,3,0
6460,Graduation,28718.0,1,0,12,4,2,3,0
1349,Graduation,50447.0,2,0,85,7,3,3,0
1880,PhD,53537.0,1,1,81,0,2,3,0
641,Graduation,52074.0,0,1,59,0,2,2,0
8717,PhD,80427.0,0,1,1149,71,11,8,0
10314,PhD,83837.0,0,0,847,66,9,5,1
10854,PhD,38853.0,1,1,29,0,2,3,0
10492,Graduation,38285.0,2,1,2,0,0,3,0
6935,2n Cycle,78497.0,0,0,207,26,5,12,0
7698,PhD,51650.0,0,1,152,3,4,4,0
3559,2n Cycle,16248.0,1,0,12,11,2,3,0
10562,Master,66835.0,0,0,620,26,6,13,0
10796,Master,30477.0,1,0,47,1,1,3,0
2563,Basic,28249.0,0,0,1,9,2,3,0
3518,Graduation,25271.0,1,0,10,1,1,2,0
5823,PhD,32303.0,0,1,35,0,1,4,0
3934,Graduation,61286.0,0,1,356,0,7,8,0
6982,Graduation,74068.0,0,0,783,30,4,9,0
6431,PhD,45759.0,1,1,42,1,2,3,0
9733,Basic,24882.0,1,0,1,4,1,2,0
5602,PhD,66973.0,0,0,466,22,8,12,0
7829,2n Cycle,36640.0,1,0,15,6,2,2,0
1324,Graduation,38872.0,1,0,23,3,3,3,0
326,Graduation,51148.0,1,1,235,6,5,6,0
7224,Graduation,31353.0,1,1,10,0,1,2,0
6999,Master,69661.0,0,0,656,16,7,12,0
9938,Graduation,80067.0,0,0,519,17,4,6,0
6422,Graduation,86718.0,0,0,344,189,5,5,0
3182,PhD,46854.0,1,1,96,1,5,3,1
7300,Graduation,69142.0,0,1,448,4,8,7,0
10424,Graduation,75922.0,0,0,265,138,4,9,0
8727,Graduation,63693.0,0,1,587,43,11,9,0
2798,PhD,102160.0,0,0,763,29,7,10,1
1030,PhD,40637.0,1,1,22,0,1,3,0
624,Master,18890.0,0,0,6,4,0,2,1
5176,Graduation,29604.0,1,0,7,6,1,3,0
5552,Master,48721.0,1,1,81,18,4,5,0
868,Graduation,44794.0,0,1,54,0,2,3,0
380,Graduation,64497.0,0,1,1170,48,11,9,1
2677,Graduation,46097.0,0,1,72,24,3,6,0
6521,Graduation,77972.0,0,0,613,22,4,9,0
6927,PhD,44377.0,1,1,224,0,5,5,0
2877,Master,46014.0,1,1,410,0,7,8,0
0,Graduation,70951.0,0,0,239,10,3,9,0
1584,Graduation,41443.0,1,0,171,7,8,5,0
7264,2n Cycle,52195.0,2,1,12,0,1,2,0
6274,Master,83790.0,0,0,1076,16,8,6,0
1377,Master,44551.0,0,1,182,4,4,5,0
454,Graduation,69508.0,1,0,824,32,11,11,0
1755,2n Cycle,45204.0,1,0,30,11,1,4,0
2075,Graduation,72460.0,0,0,377,10,3,7,0
4785,PhD,77622.0,0,2,520,7,6,11,0
9076,PhD,30732.0,1,0,155,1,4,4,0
7079,Graduation,63887.0,0,1,897,23,9,12,0
4653,Graduation,42011.0,1,0,131,0,3,4,0
7375,Graduation,51369.0,0,1,297,7,8,4,0
709,Graduation,51537.0,0,1,787,20,2,11,0
460,PhD,79930.0,0,0,792,86,3,8,0
3726,PhD,34320.0,1,0,4,1,1,2,0
6798,Graduation,37070.0,1,1,231,7,5,8,1
5341,2n Cycle,81975.0,0,1,983,76,6,4,0
1606,Graduation,38590.0,1,0,3,1,1,2,0
9617,Graduation,15033.0,0,0,0,4,1,3,0
3233,PhD,62745.0,0,1,562,21,7,11,0
89,2n Cycle,22212.0,1,0,5,9,2,4,0
2936,Master,23661.0,1,0,18,0,1,3,0
9449,PhD,79761.0,0,1,415,5,5,11,0
7297,Graduation,7500.0,1,0,5,3,3,3,0
11004,2n Cycle,60182.0,0,1,8,0,1,2,0
313,Graduation,73455.0,0,0,901,61,6,10,0
9940,Graduation,64961.0,0,1,382,114,6,4,0
10735,Graduation,22804.0,1,0,14,1,2,2,0
9529,Graduation,73687.0,0,0,559,153,3,9,1
6439,Graduation,61074.0,0,1,789,0,11,8,0
7411,PhD,31686.0,1,1,11,0,1,3,0
2176,Graduation,80134.0,1,0,1218,16,5,6,1
9265,Graduation,75027.0,0,1,925,64,9,6,0
8867,PhD,67546.0,0,0,864,134,4,5,0
8932,Master,65176.0,0,1,960,28,9,6,0
10236,Master,31160.0,1,0,16,3,2,3,0
6340,Graduation,29938.0,1,0,3,3,1,3,0
10089,Graduation,102692.0,0,0,168,148,6,13,1
2227,2n Cycle,26490.0,0,0,45,47,3,5,0
10992,Graduation,75702.0,1,1,650,28,4,11,0
5304,PhD,30899.0,1,0,24,0,1,3,0
309,PhD,63342.0,0,1,918,21,8,5,0
3406,Graduation,45989.0,0,1,138,33,3,7,0
2661,Graduation,18701.0,1,1,12,4,2,4,0
3153,PhD,40737.0,2,1,11,0,1,2,0
10264,Graduation,15287.0,1,0,1,2,1,2,1
1184,PhD,69674.0,0,2,554,41,10,10,0
4200,Master,44159.0,1,0,167,2,4,6,0
9396,PhD,37717.0,1,0,9,0,1,2,0
2387,Master,43776.0,1,1,177,2,5,4,1
6690,Master,38179.0,1,1,38,4,3,3,0
1225,Graduation,80124.0,0,0,483,84,3,8,0
9703,PhD,38097.0,1,1,77,2,3,2,1
291,Graduation,72940.0,0,0,182,74,3,6,0
4557,Graduation,22070.0,1,0,10,7,2,2,0
2379,Graduation,69267.0,0,0,778,44,3,5,1
5726,Master,31788.0,1,0,16,7,3,4,0
3066,PhD,61905.0,0,1,167,0,4,4,0
6336,Graduation,29315.0,1,1,13,2,2,4,0
10967,Graduation,33378.0,1,1,33,6,2,4,0
2304,PhD,66313.0,0,1,625,7,6,12,0
3445,Graduation,60714.0,0,0,216,162,7,10,1
7828,Master,77882.0,0,0,68,129,3,5,0
3762,PhD,69867.0,0,0,196,0,3,8,1
4391,Master,63841.0,0,1,635,15,9,9,0
4669,Basic,24480.0,1,0,4,19,3,4,0
10144,Graduation,51369.0,0,1,297,7,8,4,0
8652,Graduation,37760.0,0,0,84,5,4,6,0
1672,PhD,65640.0,0,1,204,7,5,8,0
8962,Master,44319.0,1,1,26,0,2,3,0
9974,Graduation,30631.0,1,0,15,6,3,2,0
10983,Graduation,75278.0,0,0,304,98,6,13,0
8148,Master,50898.0,1,1,285,28,6,12,0
10102,Graduation,79946.0,0,0,395,183,5,5,0
4697,Master,35416.0,0,0,248,3,7,5,0
9262,2n Cycle,32414.0,0,0,20,6,1,3,0
7254,Graduation,38361.0,1,0,39,0,3,3,0
4543,Graduation,82497.0,0,0,777,129,2,9,0
4927,Graduation,16626.0,2,0,8,3,3,3,0
10451,Graduation,29672.0,1,1,9,1,0,3,0
2926,Master,55951.0,0,1,1241,0,3,11,0
2874,2n Cycle,35388.0,1,0,6,4,1,3,0
9738,Master,42386.0,1,0,65,4,3,3,0
7119,Graduation,68627.0,0,0,395,15,2,6,0
3924,PhD,57912.0,0,1,801,0,8,12,0
5827,Graduation,35246.0,1,1,36,0,3,3,0
5596,2n Cycle,58821.0,0,1,513,14,9,9,0
10812,PhD,46377.0,1,0,37,0,2,3,0
1717,Graduation,39747.0,1,0,80,15,5,4,0
9491,Graduation,23976.0,1,0,14,1,3,3,0
9274,Master,80950.0,0,0,525,147,6,9,0
6609,Graduation,27038.0,0,0,1,26,3,3,1
6963,Graduation,77457.0,0,0,675,11,2,10,0
4440,Master,64100.0,0,1,509,0,8,6,0
1379,Master,42670.0,0,0,154,2,4,4,0
10032,Graduation,12571.0,1,0,3,5,3,3,0
2826,Graduation,22574.0,2,1,25,0,2,3,0
2437,Graduation,,0,0,861,138,6,12,0
6320,Master,70893.0,0,0,768,44,6,10,0
3050,Graduation,54198.0,1,1,185,0,3,6,0
231,Master,28839.0,1,1,24,0,2,3,0
2392,Graduation,40321.0,1,1,44,4,3,3,0
9478,Graduation,66503.0,1,0,91,64,4,6,0
113,Graduation,30833.0,1,1,11,0,1,3,0
2863,Graduation,,1,2,738,20,2,10,0
1802,Graduation,64795.0,0,1,412,5,3,12,0
520,Graduation,34421.0,1,0,3,3,1,2,0
8275,PhD,47025.0,1,1,16,0,1,2,0
9750,PhD,64325.0,0,1,731,60,10,5,0
2607,Graduation,40464.0,0,1,424,17,8,8,0
7214,Graduation,62187.0,0,0,792,0,4,5,0
5835,PhD,14849.0,1,0,21,2,2,4,0
3896,Graduation,27255.0,1,0,22,1,1,3,0
10350,PhD,54432.0,2,1,33,0,1,3,0
7786,PhD,29999.0,1,0,68,7,3,4,0
2861,Graduation,24072.0,1,0,9,1,1,2,0
663,PhD,33996.0,0,0,40,2,1,3,0
10675,PhD,66334.0,0,1,909,11,9,5,1
2521,Master,35178.0,1,0,23,1,1,2,1
9592,Graduation,22010.0,1,0,11,2,2,3,0
10151,Graduation,62204.0,0,2,317,46,4,12,0
7381,Graduation,75693.0,0,0,797,153,11,6,1
4099,Graduation,30675.0,1,0,10,2,1,3,0
9560,Graduation,83003.0,0,0,856,61,7,8,1
1150,PhD,83532.0,0,0,755,144,4,4,0
10172,Graduation,68655.0,0,0,456,19,4,11,0
11191,Graduation,41411.0,0,0,37,32,2,4,0
9707,PhD,55212.0,0,1,1103,0,4,11,0
6245,PhD,59292.0,0,1,378,14,3,8,0
8234,Basic,27190.0,1,0,1,6,1,2,1
1411,Graduation,82623.0,0,0,204,34,2,4,0
8553,Graduation,44300.0,1,1,30,0,1,3,0
1826,Graduation,84835.0,0,0,189,104,4,6,1
8842,Graduation,30372.0,1,1,15,0,2,3,0
11030,Master,33181.0,1,0,9,0,1,2,0
2579,Graduation,71113.0,0,1,495,33,6,9,0
175,Graduation,71952.0,1,0,656,80,8,8,0
9185,PhD,69759.0,0,0,452,20,4,5,1
11056,Graduation,72099.0,0,0,546,91,3,10,0
9365,PhD,60000.0,0,1,1048,0,11,5,0
6201,Graduation,38643.0,1,1,22,2,2,3,0
2061,Graduation,50737.0,0,1,78,0,2,4,0
6184,PhD,68462.0,0,0,561,64,3,8,0
6142,Master,65073.0,0,0,629,17,5,5,0
4107,PhD,46681.0,0,2,269,15,4,4,0
7274,Graduation,78618.0,0,0,736,163,4,10,0
9336,PhD,62187.0,0,1,512,0,6,10,0
2958,Graduation,28442.0,2,0,19,3,2,4,0
933,PhD,37717.0,1,0,9,0,1,2,0
5837,Graduation,51479.0,1,1,247,8,6,6,0
10704,Graduation,54803.0,0,1,404,0,6,9,0
5125,Graduation,79530.0,0,0,333,0,4,11,0
4432,Graduation,31615.0,1,0,2,3,2,3,0
5955,Graduation,72025.0,0,0,833,33,4,8,0
2928,PhD,52614.0,0,1,789,0,2,8,0
5680,2n Cycle,35684.0,1,0,10,4,1,3,0
10313,Graduation,48178.0,1,1,159,4,5,4,0
2557,Master,29548.0,1,0,7,1,1,2,0
1245,Graduation,63810.0,0,1,977,12,4,12,0
1519,PhD,38578.0,1,1,38,4,3,3,1
10703,Master,46098.0,1,1,57,0,3,2,0
1726,Graduation,22585.0,0,0,3,9,1,2,1
4459,Graduation,30279.0,1,0,10,4,1,3,0
1729,PhD,66426.0,0,1,1043,24,3,10,0
1517,Graduation,30822.0,1,0,3,9,1,3,0
2098,PhD,33581.0,2,0,11,0,1,2,0
9543,Graduation,19986.0,1,0,3,6,0,3,0
6878,Graduation,27421.0,0,0,43,12,4,6,0
3310,2n Cycle,35688.0,2,1,73,3,4,4,0
2724,Master,36143.0,1,0,12,0,0,2,0
948,Graduation,10245.0,1,0,4,7,1,2,0
6720,Master,43795.0,0,1,314,11,7,4,1
6202,Graduation,63381.0,0,1,571,50,4,13,0
2066,Graduation,38823.0,0,1,70,0,2,3,0
9799,PhD,83664.0,1,1,866,21,2,12,0
8318,Graduation,90300.0,0,0,594,134,5,8,0
5642,Master,62499.0,1,0,140,4,3,6,0
2669,Graduation,74293.0,0,0,375,152,5,6,0
455,PhD,51012.0,0,0,102,9,4,4,0
7683,Master,70777.0,0,1,554,35,5,12,0
3428,PhD,68682.0,0,0,919,0,4,10,0
7414,Graduation,43824.0,1,1,96,1,3,4,0
6354,Graduation,15345.0,1,0,5,2,1,2,1
798,Graduation,23442.0,1,0,2,0,1,3,0
8213,2n Cycle,14515.0,1,0,6,4,2,3,1
2488,2n Cycle,31395.0,1,1,23,1,2,3,0
9999,Graduation,75276.0,0,0,610,105,9,9,0
7617,Graduation,42373.0,1,1,67,5,2,5,0
615,Graduation,30507.0,0,0,65,36,5,4,0
2552,PhD,55521.0,1,2,416,0,6,6,1
194,Graduation,48006.0,1,1,23,0,1,3,0
3645,PhD,27213.0,1,0,19,3,2,4,1
8890,PhD,65808.0,1,1,155,7,5,5,0
5049,PhD,30351.0,1,0,14,0,3,2,0
9973,Graduation,50437.0,0,2,370,9,7,8,0
7301,2n Cycle,23616.0,1,0,4,22,3,3,1
10882,Graduation,53858.0,0,1,407,53,4,6,0
7030,PhD,66465.0,0,1,1200,0,11,12,0
7422,Graduation,46923.0,1,0,85,44,5,7,0
3523,Graduation,75072.0,0,1,583,34,5,8,0
7106,PhD,75865.0,0,0,483,0,3,10,0
6504,2n Cycle,19789.0,1,0,2,5,2,3,0
5067,Graduation,80134.0,0,0,966,26,2,11,0
4216,Graduation,91065.0,0,0,822,114,7,9,1
8581,Master,49505.0,1,1,604,0,10,8,0
5929,PhD,37401.0,1,0,19,3,2,3,0
3129,Graduation,30096.0,1,0,5,3,2,3,0
6528,Master,18492.0,1,0,2,2,1,2,0
1361,Master,82584.0,0,0,1076,68,3,8,1
6932,PhD,93027.0,0,0,1285,42,7,5,0
7284,Graduation,48686.0,1,2,10,0,1,2,0
1340,Graduation,92910.0,0,0,551,137,6,13,0
8746,Graduation,75433.0,1,0,800,0,2,10,0
5987,2n Cycle,10404.0,1,0,2,2,1,4,0
3767,Graduation,61314.0,0,1,378,0,5,12,0
3725,PhD,84865.0,0,0,1248,16,2,9,1
4324,Graduation,42387.0,1,0,235,0,8,7,0
238,2n Cycle,67309.0,1,1,515,47,9,9,0
6694,Graduation,75236.0,0,1,438,66,8,13,0
498,Graduation,30015.0,1,0,25,0,1,4,0
9347,Master,50943.0,0,1,31,0,1,3,0
9699,Graduation,67272.0,0,1,357,35,6,12,0
10664,Master,51529.0,0,1,400,4,9,5,0
5455,PhD,32011.0,1,0,99,0,2,4,0
456,2n Cycle,7500.0,1,0,1,11,2,3,0
5012,Graduation,28691.0,1,0,5,4,1,3,0
7495,PhD,56223.0,0,1,77,28,2,5,0
5029,Graduation,18100.0,0,0,3,1,0,3,0
10642,Graduation,30279.0,1,0,10,4,1,3,0
2106,2n Cycle,20130.0,0,0,0,6,1,3,0
10364,Graduation,23295.0,0,0,0,0,1,2,0
5954,Master,42618.0,1,0,76,14,5,4,0
1137,Graduation,81246.0,0,0,398,190,4,7,0
2541,Graduation,24027.0,1,0,14,7,2,3,0
1142,PhD,55707.0,0,1,208,7,3,9,0
2276,Graduation,57959.0,0,1,430,16,4,11,0
2807,Graduation,56796.0,0,1,656,38,8,7,0
6471,Master,36230.0,1,0,14,2,2,4,0
6131,2n Cycle,70829.0,1,1,141,70,4,8,0
6233,Graduation,65991.0,0,1,507,19,9,10,0
4148,Graduation,38988.0,1,2,164,24,5,6,0
4947,2n Cycle,89572.0,0,0,606,24,7,9,1
3225,Master,42207.0,1,0,116,11,4,5,1
7540,Graduation,50300.0,0,1,143,15,2,8,0
10648,2n Cycle,66664.0,0,0,398,96,5,6,0
1992,Graduation,60597.0,0,1,522,0,2,8,1
7851,Graduation,70165.0,0,0,161,0,3,11,0
8594,PhD,50520.0,0,1,112,0,3,3,0
7059,Graduation,80124.0,0,0,483,84,3,8,0
2815,Graduation,33183.0,1,0,7,5,4,3,0
2416,PhD,66582.0,0,0,789,25,2,9,0
7999,PhD,75261.0,0,0,1239,17,5,5,1
9213,Graduation,31880.0,1,0,4,1,1,2,0
9697,Graduation,53790.0,0,2,335,42,7,8,0
3916,PhD,49269.0,1,0,639,8,7,12,0
2021,Graduation,61456.0,0,1,563,76,6,13,0
1581,Graduation,37406.0,1,0,2,0,1,2,1
564,PhD,56937.0,1,0,746,8,8,9,1
6619,Graduation,38415.0,1,1,22,1,1,3,0
9081,Graduation,20518.0,1,0,4,1,1,2,0
178,Graduation,62503.0,0,1,478,0,8,11,0
916,PhD,41644.0,1,1,20,3,1,3,0
5512,Master,55842.0,0,1,451,0,7,8,0
8970,PhD,62010.0,0,1,371,22,6,7,0
10581,Graduation,41124.0,1,0,281,7,7,4,0
5300,Master,38961.0,1,0,19,7,2,2,0
5154,Master,37760.0,1,0,26,3,2,3,0
8346,Graduation,32233.0,1,0,138,15,6,2,1
1676,Graduation,43057.0,0,1,213,2,4,5,0
9286,Master,83151.0,0,0,407,28,5,4,0
2426,PhD,78825.0,0,0,483,74,5,13,1
5172,Master,65104.0,0,1,738,0,3,7,0
5562,Graduation,60093.0,0,1,502,12,7,10,0
3436,Graduation,14045.0,1,0,11,0,1,3,0
3921,2n Cycle,28457.0,0,0,24,1,4,4,0
3403,PhD,78952.0,0,1,1170,19,2,12,0
22,Graduation,46310.0,1,0,185,2,6,5,0
10965,Graduation,76005.0,0,0,983,20,3,13,0
9426,Master,58308.0,0,1,691,0,2,3,0
6605,PhD,55614.0,0,0,504,13,9,6,0
3136,Master,59432.0,0,1,317,25,5,11,0
8737,Graduation,55563.0,0,1,29,1,2,3,0
11088,PhD,78642.0,0,1,1396,0,4,4,0
716,PhD,67911.0,0,1,529,0,6,11,0
466,Graduation,65275.0,0,0,388,14,4,13,0
9135,Graduation,27203.0,1,1,13,2,1,2,0
10623,Master,48330.0,0,1,28,0,1,3,0
8151,Basic,24279.0,0,0,16,36,4,3,0
5140,PhD,64355.0,1,0,1047,0,4,12,0
10160,Master,50943.0,0,1,31,0,1,3,0
4945,Graduation,53653.0,0,0,815,10,10,12,0
10584,Graduation,65665.0,0,1,225,162,5,8,0
6071,Graduation,81217.0,0,0,493,70,3,11,0
3386,Graduation,34935.0,0,0,34,4,2,4,0
8939,Graduation,61250.0,0,1,382,138,5,12,0
9925,PhD,39665.0,1,0,127,1,4,3,0
4320,Graduation,60152.0,0,1,325,83,6,12,0
5389,Graduation,48920.0,0,2,238,17,6,5,0
6036,Master,89120.0,0,0,1168,92,5,7,0
182,PhD,44124.0,0,1,284,0,6,5,0
203,Master,81169.0,0,0,1288,20,5,9,0
11025,Graduation,36443.0,1,1,65,0,3,3,0
10203,Graduation,26095.0,1,0,11,7,1,3,0
4607,Graduation,71367.0,0,0,227,23,4,7,0
3711,Master,80184.0,0,0,1035,134,6,10,0
3696,Graduation,30630.0,1,1,27,1,2,3,0
2532,Master,73454.0,0,0,982,73,2,6,0
9214,Graduation,42691.0,0,0,179,2,5,6,0
4943,Graduation,70503.0,0,0,1379,33,2,9,0
35,Graduation,25545.0,1,0,32,1,2,3,1
